지역,공공 체육시설,민간 체육시설,기타 체육시설,학교체육시설,자가시설,직장체육시설
강원,34.8,28.0,10.9,4.1,21.7,0.5
경기,38.5,39.6,19.5,1.1,1.4,0.0
경남,45.8,31.0,12.0,6.7,4.6,0.0
경북,29.9,20.4,34.4,7.8,6.9,0.6
광주,37.1,29.2,26.2,5.4,2.0,0.0
대구,32.8,29.9,22.7,10.0,2.6,2.0
대전,29.9,34.3,17.4,14.0,4.5,0.0
부산,39.9,30.0,22.6,5.1,0.8,1.7
서울,44.5,36.8,13.6,3.1,1.6,0.4
세종,21.5,47.0,20.4,6.5,4.6,0.0
울산,64.6,14.4,18.2,2.8,0.0,0.0
인천,23.8,39.7,29.8,1.5,4.4,0.8
전남,34.1,29.5,30.6,2.9,2.9,0.0
전북,45.3,20.0,23.8,7.2,3.1,0.6
제주,38.5,12.1,20.7,25.1,3.6,0.0
충남,33.7,32.1,15.7,12.2,6.1,0.2
충북,39.3,25.6,16.3,11.5,6.8,0.5
