,지역,경제활동인구(천명),청년인구,강소기업수,선호_사업군의_사업체_수,매매가_전세가_비율,문화(축제건수+문화시설수),편의시설_평균_접근시간(분),자연환경(휴양만족점수),교통문화점수,고령화비율(%)
0,강원,1688,56404,244,21858,65.5,1643,139.59,7.55,79.12,21.9
1,경기,14752,579851,5107,139570,64.3,6384,85.36,7.74,81.26,14.0
2,경남,3634,128482,1071,36450,64.8,2269,116.94,7.28,81.91,18.6
3,경북,2936,100105,884,30790,62.4,1712,142.23,8.29,80.06,22.9
4,광주,1558,66496,312,21030,69.8,1279,52.39,7.78,83.97,14.9
5,대구,2550,104823,675,29698,65.8,758,55.22,7.85,81.22,17.7
6,대전,1618,64361,429,20780,65.7,799,70.87,7.8,83.39,15.4
7,부산,3442,146114,872,41224,60.9,1380,60.05,7.45,81.99,20.6
8,서울,10652,489384,2991,204810,60.3,3720,54.99,8.08,81.29,17.0
9,세종,385,9617,52,3398,48.0,188,78.58,7.47,84.95,10.1
10,울산,1143,40190,263,13040,70.1,977,62.78,7.46,82.4,13.9
11,인천,3294,138568,1003,28838,67.3,807,77.1,7.48,82.62,15.0
12,전남,2012,71447,420,22322,61.4,1597,167.97,7.35,79.49,24.4
13,전북,1942,69075,324,22192,66.0,2132,122.7,7.79,79.8,22.4
14,제주,810,31481,78,9084,58.0,892,123.85,7.96,82.58,16.5
15,충남,2472,84970,682,24094,66.5,1671,146.28,7.65,78.04,20.0
16,충북,1837,60164,555,19178,65.9,1036,117.97,7.45,79.18,19.1
